Date of analysis,Country,Total country population,Level 1,Current from,Current to,Population analyzed current,Phase 3+ number current,Phase 3+ percentage current,Phase 1 number current,Phase 1 percentage current,Phase 2 number current,Phase 2 percentage current,Phase 3 number current,Phase 3 percentage current,Phase 4 number current,Phase 4 percentage current,Phase 5 number current,Phase 5 percentage current,First projection from,First projection to,Population analyzed first projection,Phase 3+ number first projection,Phase 3+ percentage first projection,Phase 1 number first projection,Phase 1 percentage first projection,Phase 2 number first projection,Phase 2 percentage first projection,Phase 3 number first projection,Phase 3 percentage first projection,Phase 4 number first projection,Phase 4 percentage first projection,Phase 5 number first projection,Phase 5 percentage first projection,Second projection from,Second projection to,Population analyzed second projection,Phase 3+ number second projection,Phase 3+ percentage second projection,Phase 1 number second projection,Phase 1 percentage second projection,Phase 2 number second projection,Phase 2 percentage second projection,Phase 3 number second projection,Phase 3 percentage second projection,Phase 4 number second projection,Phase 4 percentage second projection,Phase 5 number second projection,Phase 5 percentage second projection
Feb 2022,YEM,31900000,Raymah,2022-01-01,2022-05-31,642000,435028,0.68,62488,0.1,144484,0.23,305528,0.48,129500,0.2,0,0,2022-06-01,2022-12-31,642000,461886,0.72,62488,0.1,117625,0.18,288524,0.45,167293,0.26,6069,0.01,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Hadramaut,2022-01-01,2022-05-31,1618329,486516,0.3,590191,0.36,541622,0.33,403607,0.25,82908,0.05,0,0,2022-06-01,2022-12-31,1618329,647421,0.4,481832,0.3,489076,0.3,501601,0.31,145820,0.09,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Taizz,2022-01-01,2022-05-31,3487612,1787243,0.51,622637,0.18,1077732,0.31,1165767,0.33,621476,0.18,0,0,2022-06-01,2022-12-31,3487612,1908508,0.55,622637,0.18,956467,0.27,1103277,0.32,805232,0.23,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Al Jawf,2022-01-01,2022-05-31,645000,417882,0.65,89255,0.14,137863,0.21,278047,0.43,139836,0.22,0,0,2022-06-01,2022-12-31,645000,445547,0.69,89255,0.14,110198,0.17,261071,0.4,174284,0.27,10193,0.02,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Hajjah,2022-01-01,2022-05-31,2237339,1574476,0.7,259986,0.12,402877,0.18,997680,0.45,545593,0.24,31202,0.01,2022-06-01,2022-12-31,2237339,1680430,0.75,247145,0.11,309765,0.14,955656,0.43,676071,0.3,48703,0.02,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Shabwah,2022-01-01,2022-05-31,698001,328180,0.47,187286,0.27,182535,0.26,222146,0.32,106034,0.15,0,0,2022-06-01,2022-12-31,698001,368918,0.53,160410,0.23,168673,0.24,234438,0.34,134480,0.19,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Aden,2022-01-01,2022-05-31,1083001,474079,0.43,257124,0.24,351798,0.32,319192,0.29,154887,0.14,0,0,2022-06-01,2022-12-31,1083001,534392,0.5,244933,0.23,303676,0.28,325895,0.3,200916,0.19,7581,0.01,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Al Maharah,2022-01-01,2022-05-31,180000,33832,0.19,81654,0.45,64514,0.36,26629,0.15,7203,0.04,0,0,2022-06-01,2022-12-31,180000,49973,0.28,68738,0.38,61289,0.34,41146,0.23,8827,0.05,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Lahj,2022-01-01,2022-05-31,1091000,420704,0.39,309588,0.28,360708,0.33,281299,0.26,139405,0.13,0,0,2022-06-01,2022-12-31,1091000,466399,0.43,299053,0.27,325547,0.3,272405,0.25,193995,0.18,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Socotra,2022-01-01,2022-05-31,73673,22945,0.31,27783,0.38,22945,0.31,18418,0.25,4527,0.06,0,0,2022-06-01,2022-12-31,73673,31156,0.42,20415,0.28,22102,0.3,25786,0.35,5370,0.07,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Al Dhale'e,2022-01-01,2022-05-31,835000,436659,0.52,173503,0.21,224838,0.27,269428,0.32,167231,0.2,0,0,2022-06-01,2022-12-31,835000,480459,0.58,162971,0.2,191570,0.23,271478,0.33,205620,0.25,3361,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Marib,2022-01-01,2022-05-31,376086,203894,0.54,72266,0.19,99927,0.27,140871,0.37,63022,0.17,0,0,2022-06-01,2022-12-31,376086,239307,0.64,61717,0.16,75062,0.2,146668,0.39,92639,0.25,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Amran,2022-01-01,2022-05-31,1102001,701541,0.64,170944,0.16,229516,0.21,484674,0.44,216867,0.2,0,0,2022-06-01,2022-12-31,1102001,772783,0.7,155448,0.14,173770,0.16,491461,0.45,269741,0.24,11581,0.01,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Dhamar,2022-01-01,2022-05-31,2170000,1357786,0.63,333845,0.15,478369,0.22,944326,0.44,413461,0.19,0,0,2022-06-01,2022-12-31,2170000,1435083,0.66,329805,0.15,405112,0.19,906399,0.42,528685,0.24,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Al Mahwit,2022-01-01,2022-05-31,781000,474110,0.61,126301,0.16,180589,0.23,308976,0.4,165135,0.21,0,0,2022-06-01,2022-12-31,781000,528403,0.68,111058,0.14,141539,0.18,313600,0.4,210114,0.27,4689,0.01,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Sa'ada,2022-01-01,2022-05-31,1258002,819314,0.65,155466,0.12,283221,0.23,583997,0.46,235318,0.19,0,0,2022-06-01,2022-12-31,1258002,880125,0.7,155466,0.12,222411,0.18,582508,0.46,297617,0.24,0,0,,,,,,,,,,,,,,,
Feb 2022,YEM,31900000,Yemen,2022-01-01,2022-05-31,31900000,17365500,0.55,5784500,0.18,8557000,0.27,11715000,0.37,5619500,0.18,31000,0,2022-06-01,2022-12-31,31900000,19013500,0.6,5470000,0.17,7218500,0.23,11712000,0.37,7140500,0.23,161000,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hadramaut,2020-10-01,2020-12-31,1510895,260500,0.17,427500,0.28,824500,0.55,241000,0.16,19500,0.01,0,0,2021-01-01,2021-06-30,1510895,388500,0.26,357500,0.24,766500,0.51,346000,0.23,42500,0.03,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Hudaydah,2020-10-01,2020-12-31,2985122,1370000,0.46,667500,0.22,950500,0.32,924000,0.31,446000,0.15,0,0,2021-01-01,2021-06-30,2985122,1675500,0.56,550000,0.18,763000,0.26,1106500,0.37,569000,0.19,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Hajjah,2020-10-01,2020-12-31,2510327,1427500,0.57,379500,0.15,704000,0.28,1014000,0.4,410500,0.16,3000,0,2021-01-01,2021-06-30,2510327,1687500,0.67,269000,0.11,556500,0.22,1023000,0.41,649000,0.26,15500,0.01,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Abyan,2020-10-01,2020-12-31,615154,304500,0.49,123500,0.2,185500,0.3,206500,0.34,98000,0.16,0,0,2021-01-01,2021-06-30,615154,336000,0.55,98000,0.16,180500,0.29,223000,0.36,113000,0.18,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Shabwah,2020-10-01,2020-12-31,665881,311500,0.47,121500,0.18,234500,0.35,237000,0.35,74500,0.11,0,0,2021-01-01,2021-06-30,665881,320500,0.48,121000,0.18,224500,0.34,216000,0.32,104500,0.16,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Marib,2020-10-01,2020-12-31,495634,243500,0.49,76000,0.15,175500,0.35,175500,0.35,68000,0.14,0,0,2021-01-01,2021-06-30,495634,302000,0.61,49500,0.1,144000,0.29,208000,0.42,94000,0.19,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Bayda,2020-10-01,2020-12-31,775404,340000,0.44,196000,0.25,241000,0.31,245500,0.32,94500,0.12,0,0,2021-01-01,2021-06-30,775404,393500,0.51,162500,0.21,221000,0.28,277500,0.36,116000,0.15,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Amran,2020-10-01,2020-12-31,1205960,701000,0.58,177500,0.15,327500,0.27,500500,0.41,197000,0.16,3500,0,2021-01-01,2021-06-30,1205960,807500,0.67,125000,0.1,274000,0.23,533500,0.44,262000,0.22,12000,0.01,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Dhale'e,2020-10-01,2020-12-31,779656,387000,0.5,180500,0.23,211500,0.27,253000,0.33,134000,0.17,0,0,2021-01-01,2021-06-30,779656,440500,0.56,159000,0.2,179000,0.23,284500,0.37,156000,0.2,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Aden,2020-10-01,2020-12-31,997308,375000,0.38,260500,0.26,361000,0.36,274500,0.28,100500,0.1,0,0,2021-01-01,2021-06-30,997308,485500,0.49,203000,0.2,308500,0.31,341000,0.34,144500,0.15,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Sa'ada,2020-10-01,2020-12-31,981401,622500,0.63,138500,0.14,220000,0.22,440500,0.45,182000,0.18,0,0,2021-01-01,2021-06-30,981401,669000,0.68,108000,0.11,201500,0.2,431500,0.44,237500,0.24,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Ibb,2020-10-01,2020-12-31,3080130,1179000,0.38,909500,0.3,992000,0.32,819000,0.27,360000,0.12,0,0,2021-01-01,2021-06-30,3080130,1508500,0.49,741000,0.24,832500,0.27,980500,0.32,528000,0.17,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Maharah,2020-10-01,2020-12-31,169327,41000,0.24,33000,0.19,96000,0.57,34000,0.2,7000,0.04,0,0,2021-01-01,2021-06-30,169327,52000,0.31,27000,0.16,91500,0.54,41500,0.24,10500,0.06,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Jawf,2020-10-01,2020-12-31,603816,378500,0.63,77000,0.13,149500,0.25,242500,0.4,126000,0.21,10000,0.02,2021-01-01,2021-06-30,603816,435500,0.72,51500,0.09,118000,0.2,254000,0.42,162000,0.27,19500,0.03,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Lahj,2020-10-01,2020-12-31,1058219,302000,0.29,348000,0.33,405500,0.38,222500,0.21,79500,0.08,0,0,2021-01-01,2021-06-30,1058219,354500,0.33,303500,0.29,398000,0.38,271500,0.26,83000,0.08,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Dhamar,2020-10-01,2020-12-31,2176229,1076500,0.49,405000,0.19,696000,0.32,769500,0.35,307000,0.14,0,0,2021-01-01,2021-06-30,2176229,1310500,0.6,346500,0.16,521500,0.24,866500,0.4,444000,0.2,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Sana'a,2020-10-01,2020-12-31,1469960,702000,0.48,281000,0.19,488000,0.33,580000,0.39,122000,0.08,0,0,2021-01-01,2021-06-30,1469960,775500,0.53,209000,0.14,486500,0.33,610500,0.41,165000,0.11,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Raymah,2020-10-01,2020-12-31,646854,400500,0.62,97000,0.15,149500,0.23,274500,0.42,126000,0.2,0,0,2021-01-01,2021-06-30,646854,465000,0.72,64500,0.1,116500,0.18,295000,0.46,170000,0.26,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Al Mahwit,2020-10-01,2020-12-31,774511,397000,0.51,142000,0.18,234000,0.3,291000,0.38,106000,0.14,0,0,2021-01-01,2021-06-30,774511,462500,0.6,115500,0.15,196500,0.25,318000,0.41,144500,0.19,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Taizz,2020-10-01,2020-12-31,3065034,1252000,0.41,611500,0.2,1199000,0.39,873000,0.28,379000,0.12,0,0,2021-01-01,2021-06-30,3065034,1633500,0.53,440500,0.14,989500,0.32,1094000,0.36,539500,0.18,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Amanat Al Asimah,2020-10-01,2020-12-31,3406643,1373000,0.4,879000,0.26,1154500,0.34,1172500,0.34,200500,0.06,0,0,2021-01-01,2021-06-30,3406643,1608500,0.47,743500,0.22,1054500,0.31,1295500,0.38,313000,0.09,0,0,,,,,,,,,,,,,,,
Nov 2020,YEM,30041712,Socotra,2020-10-01,2020-12-31,68247,35000,0.51,13000,0.19,20500,0.3,24500,0.36,10500,0.15,0,0,2021-01-01,2021-06-30,68247,35000,0.51,13000,0.19,20500,0.3,24500,0.36,10500,0.15,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Al Hudaydah,2020-02-01,2020-04-30,190378,53216,0.28,54134,0.28,83028,0.44,37556,0.2,15661,0.08,0,0,2020-07-01,2020-12-31,190378,90380,0.47,38504,0.2,61494,0.32,61823,0.32,28557,0.15,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Shabwah,2020-02-01,2020-04-30,665881,248955,0.37,152769,0.23,264157,0.4,206301,0.31,42654,0.06,0,0,2020-07-01,2020-12-31,665881,297138,0.44,121829,0.18,246915,0.37,229097,0.34,68041,0.1,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Al Bayda,2020-02-01,2020-04-30,101768,46964,0.47,20404,0.2,34400,0.34,34221,0.34,12743,0.13,0,0,2020-07-01,2020-12-31,101768,57672,0.57,17153,0.17,26943,0.26,34752,0.34,22920,0.23,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Al Jawf,2020-02-01,2020-04-30,72592,24902,0.34,13338,0.18,34352,0.47,21272,0.29,3630,0.05,0,0,2020-07-01,2020-12-31,72592,36890,0.51,12922,0.18,22780,0.31,26294,0.36,10596,0.15,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Al Dhale'e,2020-02-01,2020-04-30,513665,121666,0.24,163698,0.32,228301,0.44,85307,0.17,36359,0.07,0,0,2020-07-01,2020-12-31,513665,240481,0.47,111915,0.22,161269,0.31,148160,0.29,92321,0.18,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Taizz,2020-02-01,2020-04-30,1547174,429000,0.28,426807,0.28,690920,0.45,317331,0.21,112117,0.07,0,0,2020-07-01,2020-12-31,1547174,590000,0.38,356781,0.23,599497,0.39,380558,0.25,210338,0.14,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Marib,2020-02-01,2020-04-30,426133,140912,0.33,106108,0.25,179113,0.42,103715,0.24,37197,0.09,0,0,2020-07-01,2020-12-31,426133,207000,0.49,64845,0.15,154122,0.36,151579,0.36,55587,0.13,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Hadramaut,2020-02-01,2020-04-30,1510895,239363,0.16,427481,0.28,844051,0.56,231295,0.15,8067,0.01,0,0,2020-07-01,2020-12-31,1510895,465500,0.31,263162,0.17,782601,0.52,353617,0.23,111514,0.07,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Abyan,2020-02-01,2020-04-30,615154,190334,0.31,170316,0.28,254505,0.41,141521,0.23,48813,0.08,0,0,2020-07-01,2020-12-31,615154,305168,0.5,123282,0.2,186704,0.3,203481,0.33,101688,0.17,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Lahj,2020-02-01,2020-04-30,1058219,249000,0.24,394940,0.37,414568,0.39,172231,0.16,76479,0.07,0,0,2020-07-01,2020-12-31,1058219,487500,0.46,284400,0.27,284585,0.27,366383,0.35,122852,0.12,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Aden,2020-02-01,2020-04-30,997308,223022,0.22,298177,0.3,476110,0.48,143318,0.14,79704,0.08,0,0,2020-07-01,2020-12-31,997308,360432,0.36,272293,0.27,364584,0.37,263701,0.26,96730,0.1,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Al Maharah,2020-02-01,2020-04-30,169327,9104,0.05,60937,0.36,99287,0.59,8552,0.05,552,0,0,0,2020-07-01,2020-12-31,169327,39951,0.24,32457,0.19,96920,0.57,33666,0.2,6284,0.04,0,0,,,,,,,,,,,,,,,
Jun 2020,YEM,29826000,Socotra,2020-02-01,2020-04-30,68247,31485,0.46,15514,0.23,21248,0.31,21248,0.31,10237,0.15,0,0,2020-07-01,2020-12-31,68247,34897,0.51,12876,0.19,20474,0.3,24660,0.36,10237,0.15,0,0,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Hajjah,2019-07-01,2019-09-30,452791,288177,0.64,49435,0.11,115179,0.25,179156,0.4,109021,0.24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Sa'ada,2019-07-01,2019-09-30,150392,75196,0.5,30078,0.2,45118,0.3,52637,0.35,22559,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Ibb,2019-07-01,2019-09-30,146630,65984,0.45,29326,0.2,51321,0.35,43989,0.3,21995,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Al Hudaydah,2019-07-01,2019-09-30,198241,101320,0.51,28614,0.14,58099,0.29,74812,0.38,26508,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Taizz,2019-07-01,2019-09-30,594514,316594,0.53,77645,0.13,197343,0.33,219490,0.37,97104,0.16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Al Bayda,2019-07-01,2019-09-30,25144,7543,0.3,4023,0.16,10058,0.4,7543,0.3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Hadramaut,2019-07-01,2019-09-30,9315,2981,0.32,1490,0.16,3540,0.38,2981,0.32,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Aden,2019-07-01,2019-09-30,144666,65100,0.45,28933,0.2,50633,0.35,43400,0.3,21700,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Abyan,2019-07-01,2019-09-30,229081,95114,0.41,45610,0.2,86925,0.38,69141,0.3,25973,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Lahj,2019-07-01,2019-09-30,37439,9360,0.25,7488,0.2,20591,0.55,7488,0.2,1872,0.05,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Amran,2019-07-01,2019-09-30,188808,94048,0.5,31750,0.17,62702,0.33,65444,0.35,28604,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Al Dhale'e,2019-07-01,2019-09-30,64847,35666,0.55,9727,0.15,19454,0.3,25939,0.4,9727,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 2019,YEM,30041712,Al Mahwit,2019-07-01,2019-09-30,138925,69463,0.5,20839,0.15,48624,0.35,48624,0.35,20839,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Al Dhalee,2018-12-01,2019-01-31,779656,425500,0.55,122000,0.16,232500,0.3,295000,0.38,129000,0.17,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Amanat Al Asimah,2018-12-01,2019-01-31,3406643,1783000,0.52,606500,0.18,1017000,0.3,1375000,0.4,408000,0.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Dhamar,2018-12-01,2019-01-31,2176229,1216500,0.56,411500,0.19,548000,0.25,785000,0.36,431500,0.2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Al Bayda,2018-12-01,2019-01-31,775404,436500,0.56,91500,0.12,247500,0.32,315500,0.41,119500,0.15,1500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Hadramaut,2018-12-01,2019-01-31,1510895,560000,0.37,372000,0.25,579500,0.38,414500,0.27,145500,0.1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Ibb,2018-12-01,2019-01-31,3080130,1442000,0.47,573500,0.19,1064500,0.35,1020500,0.33,421500,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Al Jawf,2018-12-01,2019-01-31,603816,275000,0.45,111500,0.18,217000,0.36,188000,0.31,87000,0.14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Saada,2018-12-01,2019-01-31,961547,621000,0.64,110000,0.11,231000,0.24,427500,0.44,186500,0.19,7000,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Lahj,2018-12-01,2019-01-31,1058219,586000,0.55,172500,0.16,300000,0.28,426000,0.4,160000,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Al Hudaydah,2018-12-01,2019-01-31,2985122,1691000,0.57,526500,0.18,767500,0.26,1126500,0.38,558500,0.19,6000,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Amran,2018-12-01,2019-01-31,1205960,715500,0.59,184000,0.15,306500,0.25,451000,0.37,253500,0.21,11000,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Marib,2018-12-01,2019-01-31,463631,203500,0.44,124240,0.27,136000,0.29,126000,0.27,77500,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Taizz,2018-12-01,2019-01-31,3065034,1739000,0.57,433000,0.14,892500,0.29,1186000,0.39,542500,0.18,10500,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Hajjah,2018-12-01,2019-01-31,2405057,1592000,0.66,271500,0.11,541500,0.23,994000,0.41,579000,0.24,19000,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Abyan,2018-12-01,2019-01-31,615154,258500,0.42,125000,0.2,232000,0.38,179000,0.29,79500,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Raymah,2018-12-01,2019-01-31,646854,301000,0.47,147500,0.23,198500,0.31,217500,0.34,83500,0.13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Sanaa,2018-12-01,2019-01-31,1469960,691000,0.47,258500,0.18,520500,0.35,474000,0.32,217000,0.15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Al Maharah,2018-12-01,2019-01-31,169327,49500,0.3,53000,0.31,66500,0.39,31500,0.19,18000,0.11,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Shabwah,2018-12-01,2019-01-31,665881,369000,0.56,99500,0.15,197500,0.3,244500,0.37,124500,0.19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Al Mahwit,2018-12-01,2019-01-31,774511,447500,0.58,127000,0.16,200000,0.26,287000,0.37,153500,0.2,7000,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Aden,2018-12-01,2019-01-31,997308,458500,0.46,181500,0.18,357000,0.36,284500,0.29,174000,0.17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 2018,YEM,29884585,Socotra,2018-12-01,2019-01-31,68247,38374,0.57,7500,0.11,21867,0.32,30874,0.45,7500,0.12,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
