admin2,fatalities,event_id_cnty,admin2_IPC,admin2Name_IPC
Abassiya,108,13,Abassiya,
Abu Hamad,0,4,Abu hamad,
Abu Hujar,0,2,Abu hujar,
Abu Jubayhah,0,2,Abu Jubayhah,
Abu Karinka,4,7,Abu karinka,
Abu Kershola,31,16,Abu kershola,
Abu Zabad,12,10,Abu Zabad,
Abyei,271,100,,
Ad Dabbah,0,4,Ad dabbah,
Ad Damar,11,19,Ad damar,
Ad Diwaim,0,9,Ad diwaim,
Ad Duayn,46,45,,
Adila,0,9,Adila,
Aj Jabalain,0,5,Aj jabalain,
Al Buhaira,0,2,Al buhaira,
Al Buram,7,3,Buram,
Al Burgaig,0,3,Al burgaig,
Al Butanah,1,5,Al butanah,
Al Dibab,0,2,Al Dibab,
Al Fao,26,18,Al fao,
Al Fashaga,0,6,Al fashaga,
Al Fasher,866,382,Al fasher,
Al Galabat Al Gharbyah-Kassab,2,2,Al galabat al gharbyah - kassab,
Al Gitaina,35,45,Al gitaina,
Al Golid,0,3,Al golid,
Al Hasahisa,320,303,Al hasahisa,
Al Idia,15,14,Al Idia,
Al Kamlin,207,98,Kamlin Janub Al Jazirah,
Al Khiwai,58,6,Al Khiwai,
Al Kurmuk,40,12,Al kurmuk,
Al Lagowa,35,14,Al lagowa,
Al Lait,0,2,Melit,
Al Mafaza,0,3,Al mafaza,
Al Malha,3,3,Al malha,
Al Manaqil,51,31,Al manaqil,
Al Matama,0,5,Al matama,
Al Meiram,0,2,Al Meiram,
Al Quoz,49,26,Al quoz,
Al Qurashi,17,9,Al Qurashi,
Al Radoum,33,6,Al radoum,
Al Tadamon,12,6,At tadamon - sk,
Al Wihda,1,2,Al Wihda,
An Nuhud,6,24,An Nuhud,
Ar Rahad,100,45,Ar rahad,
Ar Reif Ash Shargi,70,15,Ar reif ash shargi,
As Salam/Ar Rawat,0,2,As salam / ar rawat,
As Suki,9,2,As suki,
As Sunut,0,1,As sunut,
At Tina,0,3,At Tina,
Atbara,5,19,Rural River Atbara,
Azum,9,10,Azum,
Babanusa,307,77,Babanusa,
Bahri,1181,744,Bahri,
Bara,60,29,Rural River Atbara,
Barbar,0,4,Barbar,
Basundah,0,7,Basundah,
Beida,50,10,Beida,
Beliel,34,15,Beliel,
Bendasi,12,5,Bendasi,
Buram,213,29,Buram,
Dar As Salam,15,18,Dar as salam,
Delami,72,22,Delami,
Delgo,0,3,Delgo,
Dilling,143,53,Dilling,
Dinder,0,5,Ad dinder,
Dongola,1,22,Dongola,
Ed Al Fursan,0,1,Ed al fursan,
Ed Damazine,0,30,Ed damazine,
El Geneina,4460,242,Ag geneina,
El Roseires,0,2,,
El Salam,76,36,As salam - sd,
El Taweisha,0,1,At tawisha,
Foro Baranga,49,11,Bara,
Galaa Al Nahal,1,3,Gala'a al nahal,
Gebrat Al Sheikh,43,9,Gebrat al sheikh,
Geisan,14,2,Geisan,
Gereida,16,4,Gereida,
Ghadeer,116,12,Ghadeer,
Gharb Jabal Marrah,24,18,Greater Jabal marrah,
Ghubaish,20,9,Ghubaish,
Habila,134,34,Habila - sk,
Halfa,0,5,New Halfa,
Halfa Aj Jadeedah,0,3,Halfa,
Haya,0,3,Haya,
Heiban,3,6,Heiban,
Janub Al Jazirah,187,158,Kamlin Janub Al Jazirah,
Jebel Awlia,740,354,Jebel awlia,
Jebel Moon,4,2,Jebel moon,
Kadugli,137,64,Kadugli,
Karrari,1028,332,Karrari,
Kas,55,9,Al galabat al gharbyah - kassab,
Kateila,2,1,Kateila,
Kebkabiya,37,30,Kebkabiya,
Keilak,0,2,Keilak,
Kelemando,5,1,Kelemando,
Kereneik,94,21,Kereneik,
Khartoum,1775,1602,Khartoum,
Kosti,29,28,Kosti,
Kubum,240,22,Kubum,
Kulbus,0,2,Kulbus,
Kutum,190,47,Kutum,
Madeinat Al Gedaref,6,53,Madeinat al gedaref,
Madeinat Kassala,0,46,Kassala,
Medani Al Kubra,217,180,Medani al kubra,
Melit,33,41,Melit,
Merowe,44,26,Merwoe,
Mershing,38,21,Mershing,
Mukjar,28,14,Mukjar,
Nitega,0,1,Nitega,
Nyala Janoub,914,263,Nyala Janoub,
Nyala Shimal,6,7,Nyala Shimal,
Omdurman,1363,901,UmDurman,
Port Sudan,1,69,Port sudan,
Rabak,1,13,Rabak,
Rashad,0,3,Ar Rashad,
Rehaid Albirdi,14,4,Rehaid al Birdi,
Reifi Aroma,0,1,,
Reifi Gharb Kassala,2,2,Kassala,
Reifi Kassla,0,1,Kas,
Reifi Khashm Elgirba,0,3,Baw,
Reifi Shamal Ad Delta,0,1,Al malha,
Saraf Omra,4,5,Saraf Omra,
Sawakin,0,7,Sawakin,
Sennar,123,57,Sennar,
Shamal Jabal Marrah,0,9,,
Sharg Aj Jabal,33,10,Sharg aj Jabal,
Sharg Al Jazirah,44,72,,
Sharg An Neel,625,272,Sharg an neel,
Sharg Sennar,8,7,Sennar,
Sheikan,747,185,Sheikan,
Shendi,40,22,Shendi,
Shiaria,5,1,Shiaria,
Sinja,2,7,Sinja,
Sirba,272,28,Sirba,
Soudari,21,16,Soudari,
Sunta,51,1,As sunta,
Talawdi,4,2,Talawdi,
Tawila,51,22,Tawila,
Tendalti,0,4,Tendalti,
Um Algura,46,40,Algura,
Um Bada,617,220,Um Bada,
Um Dafoug,0,3,Um Dafoug,
Um Dam Haj Ahmed,39,9,Um Dam Haj Ahmed,
Um Dukhun,1,5,Um Dukhun,
Um Durein,5,3,Um durein,
Um Kadadah,38,23,Um kadadah,
Um Rawaba,173,65,Um Rawaba,
Um Rimta,9,6,Um Rimta,
Wad Bandah,16,2,Wad Bandah,
Wadi Salih,4,8,Wadi Salih,
Wasat Al Gedaref,1,3,Wasat al gedaref,
Wasat Jabal Marrah,1,2,Greater Jabal marrah,
Yassin,18,5,Yassin,
Zalingi,379,153,Zalingi,
